"Nombre","Latitud","Longitud"
"BIBLIOTECA FRAY ANTONIO DE SEGOVIA GUADALAJARA","20.658766","-103.304538"
"BASE DE SEGURIDAD ZONA 5 GUADALAJARA","20.658944","-103.304471"
"UNIDAD ADMINISTRATIVA GUADALUPE ZAPOPAN","20.65892","-103.446533"
"CRIZ ZAPOPAN","20.6590003","-103.430999"
"R. MICHEL GUADALAJARA","20.6592408","-103.3455455"
"CENTRO DE SALUD URBANO SAN ANDRES II GUADALAJARA","20.659401","-103.289001"
"SECTOR DOS ZAPOPAN","20.659406","-103.447177"
"CENTRO DE SALUD TALA COLONIA GUADALUPE TALA","20.660817°","-103.712600°"
"COYULA TONALA","20.661375","-103.228964"
"DISPENSARIO MEDICO Y CLINICA DENTAL DE LA ""U.S.P.S. VALENTIN GOMEZ FARIAS"" GUADALAJARA","20.661604","-103.292669"
"EXPLANADA UNIDAD REFORMA GUADALAJARA","20.66191","-103.343298"
"SAN ANDRES GUADALAJARA","20.661951","-103.304061"
"DISPENSARIO MEDICO Y CLINICA DENTAL DE LA ""UNIDAD MEDICA DR. ERNESTO ARIAS"",  GUADALAJARA","20.662289","-103.342859"
"EXPLANADA SAN ANDRES GUADALAJARA","20.662417","-103.303885"
"CAANECA GUADALAJARA","20.662748","-103.344633"
"HOSPITAL MATERNO INFANTIL ESPERANZA LOPEZ MATEOS GUADALAJARA","20.662701","-103.351001"
"DISPENSARIO MEDICO Y CLINICA DENTAL DE LA  ""UNIDAD MEDICA DR. FRANCISCO RUIZ SANCHEZ"" GUADALAJARA","20.663132","-103.318843"
"OFICIALIA NO. 3 CHAPALITA ZAPOPAN","20.663585","-103.402687"
"BIBLIOTECA CHAPALITA ZAPOPAN","20.663736","-103.402923"
"OFICINAS CENTRALES FIPRODEFO GUADALAJARA","20.663794","-103.366392"
"TEATRO TORRES BODET GUADALAJARA","20.66545","-103.368843"
"CENTRO DE SALUD JARDINES DE SAN FRANCISCO GUADALAJARA","20.665601","-103.280001"
"SECRETARIA DE DESARROLLO RURAL GUADALAJARA","20.66579","-103.36963"
"OFICINAS CENTRALES GUADALAJARA","20.666497","-103.375942"
"BIBLIOTECA PROFR. JOSE CORNEJO FRANCO GUADALAJARA","20.668252","-103.31383"
"CENTRO DE SALUD LAGOS DE ORIENTE GUADALAJARA","20.669301","-103.290001"
"PAVO GUADALAJARA","20.6699911","-103.3536344"
"CENTRO DE SALUD YUGOSLAVIA 4 GUADALAJARA","20.670401","-103.314001"
